,,,,,
Date,Open,High,Low,Close,Volume
1/3/2022,177.83,182.88,177.71,182.01,104701220
1/4/2022,182.63,182.94,179.12,179.7,99310438
1/5/2022,179.61,180.17,174.64,174.92,94537602
1/6/2022,172.7,175.3,171.64,172,96903955
1/7/2022,172.89,174.14,171.03,172.17,86709147
1/10/2022,169.08,172.5,168.17,172.19,106765552
1/11/2022,172.32,175.18,170.82,175.08,76138312
1/12/2022,176.12,177.18,174.82,175.53,74805173
1/13/2022,175.78,176.62,171.79,172.19,84505760
1/14/2022,171.34,173.78,171.09,173.07,80440780
1/18/2022,171.51,172.54,169.41,169.8,91168729
1/19/2022,170,171.08,165.94,166.23,94814990
1/20/2022,166.98,169.68,164.18,164.51,91420515
1/21/2022,164.42,166.33,162.3,162.41,122848858
1/24/2022,160.02,162.3,154.7,161.62,162706686
1/25/2022,158.98,162.76,157.02,159.78,115798367
1/26/2022,163.5,164.39,157.82,159.69,108275308
1/27/2022,162.45,163.84,158.28,159.22,121954638
1/28/2022,165.71,170.35,162.8,170.33,179935660